,NLOK
Price/Earnings (TTM),34.25023
Price/Sales (TTM),4.14882
Price/Book (MRQ),1.49873
Price/Cash Flow (TTM),14.76903
5yr Low,15.12
5yr High,34.2
5yr Avg Return,0.007283333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.066558
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,22463351.0
Short Int Prev Month,22158949.0
Short Int Pct of Float,0.037798
Days to Cover,4.72944
Float,580.658
Shares Outstanding,600.3842
Institutions Holding Shares,741.0
% Held by Institutions,0.880287
FCF Growth 5yr,-1.0543210058482475
