,NLOK
% Below High,0.025
% Held by Institutions,0.8803
52-Wk Range,['10.11 - 21.83']
Annual Dividend $,0.5
Annual Dividend %,0.0236
Ask,21.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,21.25
Bid Size,100.0
Closing Price,21.28
Day Change $,0.1
Day Change %,0.004699999999999999
Day High,21.47
Day Low,20.93
Dividend Pay Date,2020-03-18 00:00:00
"EPS (TTM, GAAP)",0.62
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.644
Last (size),495.0
Last (time),4:00p ET 05/08/20
Market Cap,12.8B
"P/E Ratio (TTM, GAAP)",34.25
Prev Close,21.18
Shares Outstanding,600.4M
Short Interest,0.0378
Today's Open,21.3
Volume,4356031.0
Volume 10-day Avg,6208688.0
Volume Past Day,(Light)
