,CPB
Price/Earnings (TTM),38.60043
Price/Sales (TTM),2.02102
Price/Book (MRQ),6.26489
Price/Cash Flow (TTM),20.9677
5yr Low,32.04
5yr High,67.89
5yr Avg Return,0.05583333333333333
EPS Growth 5yr,-0.0869734
Revenue Growth 5yr,-0.0039252
Dividend Growth 5yr,0.023252199999999997
Short Int Current Month,12458799.0
Short Int Prev Month,11632307.0
Short Int Pct of Float,0.07360699999999999
Days to Cover,4.65142
Float,169.2706
Shares Outstanding,301.7446
Institutions Holding Shares,775.0
% Held by Institutions,0.520327
FCF Growth 5yr,0.05848218556378022
