,CPB
% Below High,0.1091
% Held by Institutions,0.5203
52-Wk Range,['35.27 - 57.54']
Annual Dividend $,1.4
Annual Dividend %,0.0279
Ask,52.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.4
Bid,50.6
Bid Size,100.0
Closing Price,51.26
Day Change $,1.02
Day Change %,0.0203
Day High,51.36
Day Low,50.35
Dividend Pay Date,2020-04-27 00:00:00
"EPS (TTM, GAAP)",1.3
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.304
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,15.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.6
Prev Close,50.24
Shares Outstanding,301.7M
Short Interest,0.0736
Today's Open,50.7
Volume,1182601.0
Volume 10-day Avg,1877334.0
Volume Past Day,(Light)
