,CPB
Next Earnings Announcement,2020-05-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.06694560669456062
Growth 1yr High Est,0.1776061776061777
Growth 1yr Consensus Est,0.12227589215036916
Growth 2yr Low Est,0.013864960210025479
Growth 2yr High Est,0.07240964618013807
Growth 2yr Consensus Est,0.04313730319508177
Growth 5yr Low Est,-0.04600597636605244
Growth 5yr High Est,-0.0035414878054231824
Growth 5yr Consensus Est,-0.024773732085737812
Growth 5yr Actual/Est,-0.021481035172827845
Growth 3yr Historic,-0.03478901996370237
