,BMY
% Below High,0.1067
% Held by Institutions,0.7620999999999999
52-Wk Range,['42.48 - 68.34']
Annual Dividend $,1.8
Annual Dividend %,0.029500000000000002
Ask,61.24
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.7
Bid,61.05
Bid Size,300.0
Change Since Close,0.17| |(0.28%)
Closing Price,61.05
Day Change $,0.01
Day Change %,0.0002
Day High,62.18
Day Low,60.95
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",0.81
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.287
Last (size),31.0
Last (time),6:30p ET 05/08/20
Last Trade,61.22
Market Cap,138.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",75.45
Prev Close,61.04
Shares Outstanding,2.3B
Short Interest,0.0146
Today's Open,61.83
Volume,16961400.0
Volume 10-day Avg,14444136.0
Volume Past Day,(Above Average)
