,EMN
% Below High,0.2555
% Held by Institutions,0.8273
52-Wk Range,['34.44 - 83.99']
Annual Dividend $,2.64
Annual Dividend %,0.0437
Ask,64.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,60.0
Bid Size,100.0
Closing Price,62.53
Day Change $,2.06
Day Change %,0.0341
Day High,62.72
Day Low,61.33
Dividend Pay Date,2020-07-10 00:00:00
"EPS (TTM, GAAP)",5.86
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.489
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,8.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.31
Prev Close,60.47
Shares Outstanding,135.9M
Short Interest,0.0147
Today's Open,61.65
Volume,787641.0
Volume 10-day Avg,1471025.0
Volume Past Day,(Light)
