,IP
% Above Low,0.30210000000000004
% Held by Institutions,0.8140000000000001
52-Wk Range,['26.38 - 47.64']
Annual Dividend $,2.05
Annual Dividend %,0.0629
Ask,34.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,32.03
Bid Size,100.0
Closing Price,34.35
Day Change $,1.75
Day Change %,0.0537
Day High,34.39
Day Low,33.09
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",1.66
Ex-dividend,2020-02-20 00:00:00
Ex-dividend Date,02/20/20
Historical Volatility,0.46799999999999997
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,13.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.6
Prev Close,32.6
Shares Outstanding,393.0M
Short Interest,0.026099999999999998
Today's Open,33.18
Volume,1931308.0
Volume 10-day Avg,3887443.0
Volume Past Day,(Light)
