,SYF
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-2.2523809523809524
Growth 1yr High Est,-0.34883720930232565
Growth 1yr Consensus Est,-1.300609080841639
Growth 2yr Low Est,-1.7554680427304001
Growth 2yr High Est,0.04700996677740871
Growth 2yr Consensus Est,-0.8542290379764957
Growth 5yr Low Est,-0.7303744365056152
Growth 5yr High Est,0.16693213330905846
Growth 5yr Consensus Est,-0.2817211515982784
Growth 5yr Actual/Est,0.3381146975515674
Growth 3yr Historic,0.14363493488998652
