,SYF
Price/Earnings (TTM),4.19522
Price/Sales (TTM),0.64544
Price/Book (MRQ),0.96652
Price/Cash Flow (TTM),3.30253
5yr Low,12.15
5yr High,40.59
5yr Avg Return,-0.024583333333333336
EPS Growth 5yr,0.14852869999999999
Revenue Growth 5yr,0.0929259
Dividend Growth 5yr,
Short Int Current Month,13831881.0
Short Int Prev Month,12937304.0
Short Int Pct of Float,0.023653
Days to Cover,1.28883
Float,581.5674
Shares Outstanding,583.7078
Institutions Holding Shares,954.0
% Held by Institutions,1.037197
FCF Growth 5yr,
