,SYF
% Above Low,0.5325
% Held by Institutions,1.0372
52-Wk Range,['12.15 - 38.18']
Annual Dividend $,0.88
Annual Dividend %,0.0489
Ask,18.8
Ask Size,4000.0
B/A Ratio,0.025
B/A Size,100x4000
Beta,1.7
Bid,18.56
Bid Size,100.0
Closing Price,18.62
Day Change $,0.63
Day Change %,0.035
Day High,18.68
Day Low,18.3
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",4.44
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.658
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.2
Prev Close,17.99
Shares Outstanding,583.7M
Short Interest,0.023700000000000002
Today's Open,18.48
Volume,4907820.0
Volume 10-day Avg,9355943.0
Volume Past Day,(Light)
