,IQV
Price/Earnings (TTM),124.7136
Price/Sales (TTM),2.31936
Price/Book (MRQ),4.65101
Price/Cash Flow (TTM),17.53348
5yr Low,55.01
5yr High,169.14
5yr Avg Return,0.14575000000000002
EPS Growth 5yr,-0.18847850000000002
Revenue Growth 5yr,0.1522113
Dividend Growth 5yr,
Short Int Current Month,3473443.0
Short Int Prev Month,2743915.0
Short Int Pct of Float,0.0188796
Days to Cover,2.01423
Float,182.1525
Shares Outstanding,190.9638
Institutions Holding Shares,969.0
% Held by Institutions,0.918112
FCF Growth 5yr,0.19707185444527525
