,IQV
% Below High,0.1862
% Held by Institutions,0.9181
52-Wk Range,['81.79 - 169.14']
Annual Dividend $,
Annual Dividend %,
Ask,169.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,112.0
Bid Size,200.0
Closing Price,137.65
Day Change $,2.13
Day Change %,0.015700000000000002
Day High,139.35
Day Low,136.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.09
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),4.0
Last (time),6:30p ET 05/08/20
Market Cap,26.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",124.71
Prev Close,135.52
Shares Outstanding,191.0M
Short Interest,0.0189
Today's Open,138.06
Volume,677940.0
Volume 10-day Avg,1176648.0
Volume Past Day,(Light)
