,MTB
Price/Earnings (TTM),8.23363
Price/Sales (TTM),2.1482
Price/Book (MRQ),0.89485
Price/Cash Flow (TTM),7.02823
5yr Low,87.64
5yr High,197.37
5yr Avg Return,0.006800000000000009
EPS Growth 5yr,0.1313284
Revenue Growth 5yr,0.10537610000000001
Dividend Growth 5yr,0.0792577
Short Int Current Month,2202272.0
Short Int Prev Month,2182318.0
Short Int Pct of Float,0.0170319
Days to Cover,2.63615
Float,128.6852
Shares Outstanding,129.9507
Institutions Holding Shares,871.0
% Held by Institutions,0.8257519999999999
FCF Growth 5yr,0.19866908213086198
