,MTB
% Above Low,0.1966
% Held by Institutions,0.8258
52-Wk Range,['87.64 - 174.93']
Annual Dividend $,4.4
Annual Dividend %,0.0433
Ask,106.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,96.2
Bid Size,100.0
Closing Price,104.87
Day Change $,3.25
Day Change %,0.032
Day High,106.19
Day Low,103.04
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",12.34
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.48
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,13.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.23
Prev Close,101.62
Shares Outstanding,128.3M
Short Interest,0.017
Today's Open,104.69
Volume,519446.0
Volume 10-day Avg,670851.0
Volume Past Day,(Light)
