,VRSK
% Below High,0.0708
% Held by Institutions,0.9006000000000001
52-Wk Range,['116.61 - 171.73']
Annual Dividend $,1.08
Annual Dividend %,0.0068000000000000005
Ask,159.5
Ask Size,1400.0
B/A Ratio,2.4285714285714284
B/A Size,3400x1400
Beta,0.7
Bid,159.41
Bid Size,3400.0
Closing Price,159.57
Day Change $,1.3
Day Change %,0.008199999999999999
Day High,161.66
Day Low,158.2
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.36100000000000004
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.44
Prev Close,158.27
Shares Outstanding,162.3M
Short Interest,0.0106
Today's Open,160.11
Volume,636843.0
Volume 10-day Avg,912826.0
Volume Past Day,(Light)
