,MOS
Price/Earnings (TTM),
Price/Sales (TTM),0.47783
Price/Book (MRQ),0.50167
Price/Cash Flow (TTM),
5yr Low,6.5
5yr High,47.68
5yr Avg Return,-0.17201666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0033238
Dividend Growth 5yr,-0.29432030000000003
Short Int Current Month,14033164.0
Short Int Prev Month,12491536.0
Short Int Pct of Float,0.040896499999999995
Days to Cover,2.67775
Float,342.9774
Shares Outstanding,379.0205
Institutions Holding Shares,664.0
% Held by Institutions,0.783994
FCF Growth 5yr,0.04266287323445508
