,MOS
% Above Low,0.8323
% Held by Institutions,0.784
52-Wk Range,['6.50 - 25.71']
Annual Dividend $,0.2
Annual Dividend %,0.018000000000000002
Ask,11.95
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.7
Bid,11.86
Bid Size,600.0
Closing Price,11.91
Day Change $,0.81
Day Change %,0.073
Day High,11.97
Day Low,11.35
Dividend Pay Date,2020-03-19 00:00:00
"EPS (TTM, GAAP)",-3.69
Ex-dividend,2020-03-04 00:00:00
Ex-dividend Date,03/04/20
Historical Volatility,0.7240000000000001
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,11.1
Shares Outstanding,379.0M
Short Interest,0.0409
Today's Open,11.35
Volume,5016210.0
Volume 10-day Avg,5435618.0
Volume Past Day,(Average)
