,MOS
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0
Growth 2yr High Est,2.5
Growth 2yr Consensus Est,0.75
Growth 5yr Low Est,-1.0
Growth 5yr High Est,2.5
Growth 5yr Consensus Est,0.75
Growth 5yr Actual/Est,0.8718020872242922
Growth 3yr Historic,0.008644192487450214
