,EQIX
Price/Earnings (TTM),113.7491
Price/Sales (TTM),10.28269
Price/Book (MRQ),6.69368
Price/Cash Flow (TTM),31.95513
5yr Low,242.8
5yr High,715.75
5yr Avg Return,0.20521666666666669
EPS Growth 5yr,
Revenue Growth 5yr,0.1787891
Dividend Growth 5yr,
Short Int Current Month,948616.0
Short Int Prev Month,1022040.0
Short Int Pct of Float,0.0111606
Days to Cover,1.61038
Float,85.49671
Shares Outstanding,85.92704
Institutions Holding Shares,1157.0
% Held by Institutions,0.953636
FCF Growth 5yr,-2.498700829245995
