,EQIX
% Below High,0.0525
% Held by Institutions,0.9536
52-Wk Range,['471.65 - 715.75']
Annual Dividend $,10.64
Annual Dividend %,0.0158
Ask,678.22
Ask Size,1200.0
B/A Ratio,0.5833333333333334
B/A Size,700x1200
Beta,0.4
Bid,677.62
Bid Size,700.0
Closing Price,678.16
Day Change $,2.82
Day Change %,0.0042
Day High,686.99
Day Low,671.35
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",5.94
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.38
Last (size),10900.0
Last (time),4:15p ET 05/08/20
Market Cap,58.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",113.75
Prev Close,675.34
Shares Outstanding,85.9M
Short Interest,0.011200000000000002
Today's Open,679.89
Volume,439421.0
Volume 10-day Avg,473117.0
Volume Past Day,(Average)
