,ROST
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.7400881057268722
Growth 1yr High Est,-0.1515151515151516
Growth 1yr Consensus Est,-0.4458016286210119
Growth 2yr Low Est,0.35876950645859784
Growth 2yr High Est,0.10026283240568945
Growth 2yr Consensus Est,0.22951616943214365
Growth 5yr Low Est,0.2706311994360923
Growth 5yr High Est,0.1342104733576216
Growth 5yr Consensus Est,0.20242083639685696
Growth 5yr Actual/Est,0.15105395968439522
Growth 3yr Historic,0.08881532709229428
