,ROST
Price/Earnings (TTM),19.88438
Price/Sales (TTM),2.02653
Price/Book (MRQ),9.71367
Price/Cash Flow (TTM),16.15637
5yr Low,43.47
5yr High,124.16
5yr Avg Return,0.12291666666666665
EPS Growth 5yr,0.1576407
Revenue Growth 5yr,0.07752869999999999
Dividend Growth 5yr,0.205891
Short Int Current Month,4584861.0
Short Int Prev Month,4576565.0
Short Int Pct of Float,0.0132227
Days to Cover,1.33931
Float,347.7631
Shares Outstanding,355.3871
Institutions Holding Shares,1241.0
% Held by Institutions,0.8858459999999999
FCF Growth 5yr,0.148455722962568
