,ROST
% Below High,0.2634
% Held by Institutions,0.8858
52-Wk Range,['56.30 - 124.16']
Annual Dividend $,1.14
Annual Dividend %,0.0127
Ask,91.55
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,90.51
Bid Size,100.0
Closing Price,91.46
Day Change $,1.61
Day Change %,0.0179
Day High,91.6
Day Low,90.46
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",4.6
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.499
Last (size),5.0
Last (time),3:59p ET 05/08/20
Market Cap,32.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.88
Prev Close,89.85
Shares Outstanding,355.4M
Short Interest,0.0132
Today's Open,91.1
Volume,1479998.0
Volume 10-day Avg,2622363.0
Volume Past Day,(Light)
