,NWL
% Above Low,0.1887
% Held by Institutions,0.8862000000000001
52-Wk Range,['10.44 - 20.99']
Annual Dividend $,0.92
Annual Dividend %,0.0741
Ask,12.47
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,12.35
Bid Size,500.0
Closing Price,12.41
Day Change $,0.37
Day Change %,0.030699999999999998
Day High,12.49
Day Low,12.06
Dividend Pay Date,2020-03-13 00:00:00
"EPS (TTM, GAAP)",-2.41
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.55
Last (size),1000.0
Last (time),3:59p ET 05/08/20
Market Cap,5.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.04
Shares Outstanding,424.1M
Short Interest,0.0461
Today's Open,12.23
Volume,2591846.0
Volume 10-day Avg,4094605.0
Volume Past Day,(Light)
