,PBCT
Price/Earnings (TTM),9.48247
Price/Sales (TTM),2.64563
Price/Book (MRQ),0.69216
Price/Cash Flow (TTM),11.30306
5yr Low,9.37
5yr High,20.26
5yr Avg Return,-0.018299999999999993
EPS Growth 5yr,0.0869622
Revenue Growth 5yr,0.1278838
Dividend Growth 5yr,0.0147665
Short Int Current Month,17928386.0
Short Int Prev Month,17742499.0
Short Int Pct of Float,0.042512100000000004
Days to Cover,4.45501
Float,417.1944
Shares Outstanding,424.6616
Institutions Holding Shares,681.0
% Held by Institutions,0.754182
FCF Growth 5yr,0.0708236787560443
