,PBCT
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.5820895522388059
Growth 1yr High Est,-0.08088235294117652
Growth 1yr Consensus Est,-0.3314859525899912
Growth 2yr Low Est,-0.21068763326226014
Growth 2yr High Est,-0.016441176470588237
Growth 2yr Consensus Est,-0.11356440486642419
Growth 5yr Low Est,0.003544406580098969
Growth 5yr High Est,0.07882139649753031
Growth 5yr Consensus Est,0.04118290153881464
Growth 5yr Actual/Est,0.04791686657416172
Growth 3yr Historic,0.09846147761430152
