,PBCT
% Above Low,0.2871
% Held by Institutions,0.7542
52-Wk Range,['9.37 - 17.22']
Annual Dividend $,0.72
Annual Dividend %,0.062400000000000004
Ask,12.2
Ask Size,300.0
B/A Ratio,3.3333333333333335
B/A Size,1000x300
Beta,1.3
Bid,12.05
Bid Size,1000.0
Closing Price,12.06
Day Change $,0.52
Day Change %,0.0451
Day High,12.09
Day Low,11.73
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.27
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.49200000000000005
Last (size),315.0
Last (time),3:59p ET 05/08/20
Market Cap,5.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.48
Prev Close,11.54
Shares Outstanding,423.5M
Short Interest,0.0425
Today's Open,11.76
Volume,1728736.0
Volume 10-day Avg,3867687.0
Volume Past Day,(Light)
