,FRT
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.26813880126182965
Growth 1yr High Est,0.0644171779141105
Growth 1yr Consensus Est,-0.10186081167385957
Growth 2yr Low Est,-0.12975905580332864
Growth 2yr High Est,0.06679072152189669
Growth 2yr Consensus Est,-0.031484167140715974
Growth 5yr Low Est,-0.061684639722750595
Growth 5yr High Est,-0.015865722982894015
Growth 5yr Consensus Est,-0.038775181352822305
Growth 5yr Actual/Est,-0.018104061791852616
Growth 3yr Historic,0.06267327281656448
