,FRT
Price/Earnings (TTM),16.59093
Price/Sales (TTM),6.06525
Price/Book (MRQ),2.42129
Price/Cash Flow (TTM),9.62186
5yr Low,64.68
5yr High,171.08
5yr Avg Return,-0.06823333333333333
EPS Growth 5yr,0.1443852
Revenue Growth 5yr,0.06404320000000001
Dividend Growth 5yr,0.0463989
Short Int Current Month,2197755.0
Short Int Prev Month,1996185.0
Short Int Pct of Float,0.0293124
Days to Cover,3.30691
Float,74.96654
Shares Outstanding,75.63304
Institutions Holding Shares,620.0
% Held by Institutions,0.9137139999999999
FCF Growth 5yr,0.022919928769083952
