,FRT
% Above Low,0.2078
% Held by Institutions,0.9137000000000001
52-Wk Range,['64.68 - 141.35']
Annual Dividend $,4.2
Annual Dividend %,0.055999999999999994
Ask,78.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,78.04
Bid Size,100.0
Closing Price,78.12
Day Change $,3.13
Day Change %,0.0417
Day High,79.86
Day Low,76.26
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",4.52
Ex-dividend,2020-06-19 00:00:00
Ex-dividend Date,06/19/20
Historical Volatility,0.507
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,5.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.59
Prev Close,74.99
Shares Outstanding,75.6M
Short Interest,0.029300000000000003
Today's Open,76.28
Volume,728905.0
Volume 10-day Avg,1126058.0
Volume Past Day,(Light)
