,HAS
% Above Low,0.6864
% Held by Institutions,0.8506999999999999
52-Wk Range,['41.33 - 126.87']
Annual Dividend $,2.72
Annual Dividend %,0.0398
Ask,69.99
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,68.0
Bid Size,200.0
Closing Price,69.7
Day Change $,1.32
Day Change %,0.019299999999999998
Day High,69.92
Day Low,68.22
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.537
Last (size),30.0
Last (time),3:59p ET 05/08/20
Market Cap,9.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.84
Prev Close,68.38
Shares Outstanding,137.0M
Short Interest,0.0242
Today's Open,68.99
Volume,719308.0
Volume 10-day Avg,1558574.0
Volume Past Day,(Light)
