,HAS
Price/Earnings (TTM),20.84229
Price/Sales (TTM),1.83939
Price/Book (MRQ),3.43267
Price/Cash Flow (TTM),14.91005
5yr Low,41.33
5yr High,126.87
5yr Avg Return,0.023883333333333333
EPS Growth 5yr,0.0481055
Revenue Growth 5yr,0.0199069
Dividend Growth 5yr,0.0957839
Short Int Current Month,3071520.0
Short Int Prev Month,2801293.0
Short Int Pct of Float,0.0242484
Days to Cover,2.26249
Float,126.6708
Shares Outstanding,137.0069
Institutions Holding Shares,854.0
% Held by Institutions,0.8507330000000001
FCF Growth 5yr,0.06352530625112351
