,HAS
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.29209621993127133
Growth 2yr High Est,0.2713936430317849
Growth 2yr Consensus Est,0.2817449314815281
Growth 5yr Low Est,0.29209621993127133
Growth 5yr High Est,0.2713936430317849
Growth 5yr Consensus Est,0.2817449314815281
Growth 5yr Actual/Est,-0.03370199448665534
Growth 3yr Historic,-0.058782883782883794
