,LNC
Price/Earnings (TTM),10.44248
Price/Sales (TTM),0.37898
Price/Book (MRQ),0.4053
Price/Cash Flow (TTM),10.08732
5yr Low,16.11
5yr High,86.68
5yr Avg Return,-0.032966666666666665
EPS Growth 5yr,-0.0531556
Revenue Growth 5yr,0.0494399
Dividend Growth 5yr,0.1825414
Short Int Current Month,8659257.0
Short Int Prev Month,5992178.0
Short Int Pct of Float,0.0446422
Days to Cover,2.56863
Float,191.8817
Shares Outstanding,193.217
Institutions Holding Shares,820.0
% Held by Institutions,0.841067
FCF Growth 5yr,
