,GPC
% Above Low,0.5386
% Held by Institutions,0.7497
52-Wk Range,['49.68 - 108.58']
Annual Dividend $,3.16
Annual Dividend %,0.0429
Ask,95.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,70.0
Bid Size,100.0
Closing Price,76.44
Day Change $,2.72
Day Change %,0.0369
Day High,76.66
Day Low,74.82
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",4.08
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.47000000000000003
Last (size),2100.0
Last (time),6:30p ET 05/08/20
Market Cap,11.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.05
Prev Close,73.72
Shares Outstanding,144.3M
Short Interest,0.020099999999999996
Today's Open,75.02
Volume,690642.0
Volume 10-day Avg,926825.0
Volume Past Day,(Light)
