,GPC
Price/Earnings (TTM),18.04987
Price/Sales (TTM),0.55347
Price/Book (MRQ),3.12518
Price/Cash Flow (TTM),12.13854
5yr Low,49.68
5yr High,115.2
5yr Avg Return,-0.02223333333333333
EPS Growth 5yr,-0.014981500000000002
Revenue Growth 5yr,0.0479764
Dividend Growth 5yr,0.061554399999999995
Short Int Current Month,2844865.0
Short Int Prev Month,3058256.0
Short Int Pct of Float,0.020118200000000003
Days to Cover,2.27726
Float,141.4019
Shares Outstanding,144.2603
Institutions Holding Shares,965.0
% Held by Institutions,0.749729
FCF Growth 5yr,-0.07506225828246597
