,LW
% Above Low,0.5755
% Held by Institutions,0.8791
52-Wk Range,['39.06 - 96.32']
Annual Dividend $,0.92
Annual Dividend %,0.0166
Ask,65.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,55.01
Bid Size,100.0
Closing Price,61.54
Day Change $,6.12
Day Change %,0.1104
Day High,62.01
Day Low,56.32
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.49100000000000005
Last (size),48.0
Last (time),6:30p ET 05/08/20
Market Cap,9.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.13
Prev Close,55.42
Shares Outstanding,146.0M
Short Interest,0.034300000000000004
Today's Open,56.98
Volume,1920368.0
Volume 10-day Avg,1432444.0
Volume Past Day,(Heavy Day)
