,LVS
Price/Earnings (TTM),17.24703
Price/Sales (TTM),3.04656
Price/Book (MRQ),8.06208
Price/Cash Flow (TTM),9.83897
5yr Low,33.3
5yr High,81.45
5yr Avg Return,0.035750000000000004
EPS Growth 5yr,-0.0009232999999999999
Revenue Growth 5yr,-0.011864300000000001
Dividend Growth 5yr,
Short Int Current Month,14543963.0
Short Int Prev Month,13598506.0
Short Int Pct of Float,0.043982900000000005
Days to Cover,2.2742
Float,330.4027
Shares Outstanding,763.7297
Institutions Holding Shares,909.0
% Held by Institutions,0.37459000000000003
FCF Growth 5yr,0.05255368166960579
