,SBAC
Price/Earnings (TTM),
Price/Sales (TTM),15.98241
Price/Book (MRQ),
Price/Cash Flow (TTM),46.36369
5yr Low,82.8
5yr High,317.11
5yr Avg Return,0.19265000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.056993
Dividend Growth 5yr,
Short Int Current Month,1510735.0
Short Int Prev Month,1676378.0
Short Int Pct of Float,0.013634299999999999
Days to Cover,1.81853
Float,110.2444
Shares Outstanding,111.6249
Institutions Holding Shares,850.0
% Held by Institutions,0.947982
FCF Growth 5yr,0.09893639621102168
