,SBAC
% Below High,0.0796
% Held by Institutions,0.948
52-Wk Range,['199.22 - 317.11']
Annual Dividend $,1.86
Annual Dividend %,0.006500000000000001
Ask,304.09
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,280.0
Bid Size,200.0
Closing Price,291.86
Day Change $,5.73
Day Change %,0.02
Day High,294.43
Day Low,289.09
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",-0.08
Ex-dividend,2020-05-27 00:00:00
Ex-dividend Date,05/27/20
Historical Volatility,0.402
Last (size),18600.0
Last (time),4:15p ET 05/08/20
Market Cap,32.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,286.13
Shares Outstanding,111.6M
Short Interest,0.013600000000000001
Today's Open,291.12
Volume,708498.0
Volume 10-day Avg,842971.0
Volume Past Day,(Below Average)
