,SBAC
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-107.49999999999999
Growth 2yr High Est,0.3524904214559388
Growth 2yr Consensus Est,-53.57375478927202
Growth 5yr Low Est,-107.49999999999999
Growth 5yr High Est,0.3524904214559388
Growth 5yr Consensus Est,-53.57375478927202
Growth 5yr Actual/Est,0.7729122092328139
Growth 3yr Historic,0.3996738513896767
