,UAA
Price/Earnings (TTM),49.24261
Price/Sales (TTM),0.81106
Price/Book (MRQ),2.09696
Price/Cash Flow (TTM),13.09436
5yr Low,7.39
5yr High,105.89
5yr Avg Return,-0.20278333333333332
EPS Growth 5yr,-0.2654262
Revenue Growth 5yr,0.1129651
Dividend Growth 5yr,
Short Int Current Month,27653579.0
Short Int Prev Month,26172847.0
Short Int Pct of Float,0.1473342
Days to Cover,5.11041
Float,381.9186
Shares Outstanding,451.9214
Institutions Holding Shares,584.0
% Held by Institutions,0.8864019999999999
FCF Growth 5yr,-2.3237938734376558
