,UAA
% Above Low,0.3514
% Held by Institutions,0.8864
52-Wk Range,['7.39 - 27.72']
Annual Dividend $,
Annual Dividend %,
Ask,10.25
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.2
Bid,10.05
Bid Size,100.0
Closing Price,9.98
Day Change $,0.37
Day Change %,0.0385
Day High,10.05
Day Low,9.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.2
Ex-dividend Date,No dividend
Historical Volatility,0.645
Last (size),19.0
Last (time),6:30p ET 05/08/20
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",49.24
Prev Close,9.61
Shares Outstanding,451.9M
Short Interest,0.14730000000000001
Today's Open,9.9
Volume,15619998.0
Volume 10-day Avg,7209874.0
Volume Past Day,(Heavy Day)
