,HRB
Next Earnings Announcement,2020-06-09 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.629268292682927
Growth 2yr High Est,2.522727272727273
Growth 2yr Consensus Est,-0.05327050997782701
Growth 5yr Low Est,-2.629268292682927
Growth 5yr High Est,2.522727272727273
Growth 5yr Consensus Est,-0.05327050997782701
Growth 5yr Actual/Est,2.069710640363275
Growth 3yr Historic,0.06047116833310506
