,HRB
Price/Earnings (TTM),8.05207
Price/Sales (TTM),0.94935
Price/Book (MRQ),
Price/Cash Flow (TTM),5.05869
5yr Low,11.29
5yr High,37.53
5yr Avg Return,-0.08365
EPS Growth 5yr,0.0350006
Revenue Growth 5yr,0.004625000000000001
Dividend Growth 5yr,0.045639599999999995
Short Int Current Month,26034622.0
Short Int Prev Month,27006408.0
Short Int Pct of Float,0.1359442
Days to Cover,9.34872
Float,188.7764
Shares Outstanding,192.4753
Institutions Holding Shares,644.0
% Held by Institutions,1.039728
FCF Growth 5yr,0.04543476803556092
