,HRB
% Above Low,0.43670000000000003
% Held by Institutions,1.0397
52-Wk Range,['11.29 - 29.62']
Annual Dividend $,1.04
Annual Dividend %,0.0667
Ask,16.29
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.8
Bid,15.5
Bid Size,1000.0
Closing Price,16.22
Day Change $,0.62
Day Change %,0.0397
Day High,16.33
Day Low,15.78
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",1.94
Ex-dividend,2020-03-16 00:00:00
Ex-dividend Date,03/16/20
Historical Volatility,0.512
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,3.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.05
Prev Close,15.6
Shares Outstanding,192.5M
Short Interest,0.1359
Today's Open,15.84
Volume,2374612.0
Volume 10-day Avg,3479903.0
Volume Past Day,(Light)
