,UAL
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-3.174064403829417
Growth 1yr High Est,-1.5396565821749795
Growth 1yr Consensus Est,-2.3568604930021984
Growth 2yr Low Est,-2.0960394076793203
Growth 2yr High Est,-1.859222230481429
Growth 2yr Consensus Est,-1.9776308190803746
Growth 5yr Low Est,-0.8834512119806148
Growth 5yr High Est,-0.7580545378408263
Growth 5yr Consensus Est,-0.8207528749107207
Growth 5yr Actual/Est,-0.751667914693964
Growth 3yr Historic,0.16760411738400616
