,UAL
Price/Earnings (TTM),6.89706
Price/Sales (TTM),0.17726
Price/Book (MRQ),0.66737
Price/Cash Flow (TTM),2.19139
5yr Low,17.8
5yr High,97.85
5yr Avg Return,-0.045666666666666675
EPS Growth 5yr,0.316215
Revenue Growth 5yr,0.0214642
Dividend Growth 5yr,
Short Int Current Month,22430327.0
Short Int Prev Month,19916230.0
Short Int Pct of Float,0.0911215
Days to Cover,0.72623
Float,289.388
Shares Outstanding,290.4322
Institutions Holding Shares,834.0
% Held by Institutions,0.838552
FCF Growth 5yr,-1.5213891763472305
