,WDC
Price/Earnings (TTM),
Price/Sales (TTM),0.82154
Price/Book (MRQ),1.4346
Price/Cash Flow (TTM),12.92835
5yr Low,27.4
5yr High,106.96
5yr Avg Return,-0.029500000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0183369
Dividend Growth 5yr,
Short Int Current Month,8717593.0
Short Int Prev Month,7774668.0
Short Int Pct of Float,0.0292477
Days to Cover,1.67475
Float,296.7835
Shares Outstanding,298.9315
Institutions Holding Shares,933.0
% Held by Institutions,0.828338
FCF Growth 5yr,0.05594567943109652
