,WDC
% Above Low,0.6131000000000001
% Held by Institutions,0.8283
52-Wk Range,['27.40 - 72.00']
Annual Dividend $,
Annual Dividend %,
Ask,44.33
Ask Size,4500.0
B/A Ratio,0.022222222222222223
B/A Size,100x4500
Beta,1.7
Bid,44.31
Bid Size,100.0
Closing Price,44.2
Day Change $,2.35
Day Change %,0.0562
Day High,44.3
Day Low,42.62
Dividend Pay Date,04/17/20
"EPS (TTM, GAAP)",-1.97
Ex-dividend Date,04/02/20
Historical Volatility,0.675
Last (size),100.0
Last (time),4:00p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,41.85
Shares Outstanding,298.9M
Short Interest,0.0292
Today's Open,42.65
Volume,4858854.0
Volume 10-day Avg,7874205.0
Volume Past Day,(Light)
