,CI
Price/Earnings (TTM),14.14844
Price/Sales (TTM),0.44447
Price/Book (MRQ),1.53209
Price/Cash Flow (TTM),8.17306
5yr Low,115.03
5yr High,227.13
5yr Avg Return,0.08631666666666665
EPS Growth 5yr,0.1141992
Revenue Growth 5yr,0.344837
Dividend Growth 5yr,0.0
Short Int Current Month,4377763.0
Short Int Prev Month,4461550.0
Short Int Pct of Float,0.0119373
Days to Cover,2.01783
Float,363.7066
Shares Outstanding,372.0431
Institutions Holding Shares,1489.0
% Held by Institutions,0.9055970000000001
FCF Growth 5yr,0.3967899249618574
