,CI
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.03855278766310799
Growth 1yr High Est,0.10823529411764699
Growth 1yr Consensus Est,0.07339404089037749
Growth 2yr Low Est,0.07410220765222786
Growth 2yr High Est,0.12444673410765572
Growth 2yr Consensus Est,0.09927447087994179
Growth 5yr Low Est,0.18846930594783368
Growth 5yr High Est,0.19741032572099665
Growth 5yr Consensus Est,0.19293981583441516
Growth 5yr Actual/Est,0.18697381799200852
Growth 3yr Historic,0.13962002457960537
