,CI
% Below High,0.1575
% Held by Institutions,0.9056000000000001
52-Wk Range,['118.50 - 224.64']
Annual Dividend $,0.04
Annual Dividend %,0.0002
Ask,200.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,184.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,189.27
Day Change $,5.09
Day Change %,0.0276
Day High,189.43
Day Low,186.1
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",13.02
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.499
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,69.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.15
Prev Close,184.18
Shares Outstanding,369.3M
Short Interest,0.011899999999999999
Today's Open,187.12
Volume,1300593.0
Volume 10-day Avg,1568372.0
Volume Past Day,(Below Average)
