,O
Price/Earnings (TTM),37.52517
Price/Sales (TTM),12.04284
Price/Book (MRQ),1.79866
Price/Cash Flow (TTM),17.07321
5yr Low,38.0
5yr High,84.92
5yr Avg Return,0.03831666666666667
EPS Growth 5yr,0.0608796
Revenue Growth 5yr,0.09826370000000001
Dividend Growth 5yr,0.043414400000000006
Short Int Current Month,9028766.0
Short Int Prev Month,8125221.0
Short Int Pct of Float,0.0263487
Days to Cover,2.31797
Float,342.8804
Shares Outstanding,343.416
Institutions Holding Shares,1032.0
% Held by Institutions,0.718724
FCF Growth 5yr,0.556527918197356
