,O
% Above Low,0.4437
% Held by Institutions,0.7187
52-Wk Range,['38.00 - 84.92']
Annual Dividend $,2.8
Annual Dividend %,0.051399999999999994
Ask,55.73
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,54.7
Bid Size,100.0
Closing Price,54.86
Day Change $,0.45
Day Change %,0.0083
Day High,56.09
Day Low,54.09
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",1.45
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.568
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,18.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",37.53
Prev Close,54.41
Shares Outstanding,343.4M
Short Interest,0.0263
Today's Open,55.31
Volume,2467637.0
Volume 10-day Avg,3067580.0
Volume Past Day,(Below Average)
