,MDLZ
Price/Earnings (TTM),19.62196
Price/Sales (TTM),2.74999
Price/Book (MRQ),2.78866
Price/Cash Flow (TTM),16.80394
5yr Low,35.88
5yr High,59.96
5yr Avg Return,0.056799999999999996
EPS Growth 5yr,0.1573396
Revenue Growth 5yr,-0.0545563
Dividend Growth 5yr,0.1384405
Short Int Current Month,11732541.0
Short Int Prev Month,11385593.0
Short Int Pct of Float,0.0082187
Days to Cover,1.70711
Float,1425.469
Shares Outstanding,1427.464
Institutions Holding Shares,1994.0
% Held by Institutions,0.773726
FCF Growth 5yr,0.11593936965233702
