,CHTR
Price/Earnings (TTM),62.33847
Price/Sales (TTM),2.2933
Price/Book (MRQ),3.58346
Price/Cash Flow (TTM),8.83652
5yr Low,156.13
5yr High,546.54
5yr Avg Return,0.23256666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.3810843
Dividend Growth 5yr,
Short Int Current Month,8996384.0
Short Int Prev Month,8961823.0
Short Int Pct of Float,0.0527023
Days to Cover,7.49256
Float,170.8581
Shares Outstanding,206.4575
Institutions Holding Shares,1210.0
% Held by Institutions,0.646878
FCF Growth 5yr,0.993749567352199
