,SHW
Price/Earnings (TTM),31.7317
Price/Sales (TTM),2.77181
Price/Book (MRQ),15.17465
Price/Cash Flow (TTM),22.75116
5yr Low,218.27
5yr High,599.95
5yr Avg Return,0.14331666666666665
EPS Growth 5yr,0.1346746
Revenue Growth 5yr,0.0997123
Dividend Growth 5yr,0.1548967
Short Int Current Month,1296912.0
Short Int Prev Month,1070475.0
Short Int Pct of Float,0.0156311
Days to Cover,1.67924
Float,81.9948
Shares Outstanding,90.8
Institutions Holding Shares,1359.0
% Held by Institutions,0.793813
FCF Growth 5yr,0.12606439800588326
