,SHW
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.10656517602283533
Growth 1yr High Est,0.09715086408220452
Growth 1yr Consensus Est,-0.004707155970315402
Growth 2yr Low Est,-0.006157987372440055
Growth 2yr High Est,0.12073379730291578
Growth 2yr Consensus Est,0.05728790496523786
Growth 5yr Low Est,0.13930502225400745
Growth 5yr High Est,0.15410357023938442
Growth 5yr Consensus Est,0.14670429624669595
Growth 5yr Actual/Est,0.12110704567303415
Growth 3yr Historic,0.09234214070620611
