,PKG
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.38219895287958117
Growth 1yr High Est,-0.26036269430051806
Growth 1yr Consensus Est,-0.3212808235900496
Growth 2yr Low Est,-0.2186418493211465
Growth 2yr High Est,-0.07238800214150248
Growth 2yr Consensus Est,-0.1455149257313245
Growth 5yr Low Est,-0.03580169946189812
Growth 5yr High Est,0.03686936474523153
Growth 5yr Consensus Est,0.0005338326416667039
Growth 5yr Actual/Est,-0.012868067406297923
Growth 3yr Historic,0.07164112567903588
