,PKG
% Below High,0.145
% Held by Institutions,0.9024
52-Wk Range,['71.05 - 114.78']
Annual Dividend $,3.16
Annual Dividend %,0.0337
Ask,109.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,83.42
Bid Size,100.0
Closing Price,98.14
Day Change $,4.35
Day Change %,0.0464
Day High,99.29
Day Low,95.44
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",6.86
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.40399999999999997
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,9.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.3
Prev Close,93.79
Shares Outstanding,94.8M
Short Interest,0.0184
Today's Open,95.63
Volume,590957.0
Volume 10-day Avg,835609.0
Volume Past Day,(Light)
