,BKR,Rating Since
newConstructs,4,2020-05-08
researchTeam,reduce,2019-10-22
theStreet,sell,2019-10-22
cfra,3,2020-01-23
ford,4,2020-04-09
creditSuisse,outperform,2018-12-19
marketEdge,,
