,BKR
% Above Low,0.6458
% Held by Institutions,0.9358
52-Wk Range,['9.12 - 25.99']
Annual Dividend $,0.72
Annual Dividend %,0.051399999999999994
Ask,15.29
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.7
Bid,15.01
Bid Size,1000.0
Change Since Close,0.00| |(0.00%)
Closing Price,15.01
Day Change $,0.99
Day Change %,0.0706
Day High,15.02
Day Low,14.14
Dividend Pay Date,2020-02-14 00:00:00
"EPS (TTM, GAAP)",-15.47
Ex-dividend,2020-01-31 00:00:00
Ex-dividend Date,01/31/20
Historical Volatility,0.622
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,15.01
Market Cap,15.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.02
Shares Outstanding,1.0B
Short Interest,0.0219
Today's Open,14.37
Volume,7746657.0
Volume 10-day Avg,6060888.0
Volume Past Day,(Heavy Day)
